x,y,depth
639,588,444
643,588,444
641,588,444
643,585,444
642,588,444
643,585,444
643,587,445
644,587,444
643,587,444
643,589,445
644,590,444
642,589,444
642,589,444
643,589,444
643,589,444
644,590,444
643,589,445
642,589,445
644,590,445
644,589,444
644,589,444
643,589,445
642,589,445
643,589,444
643,589,444
642,590,444
641,590,445
644,589,444
642,590,445
643,589,445
643,589,445
643,589,445
642,589,445
643,590,445
643,589,444
642,589,444
643,589,445
642,590,445
643,589,444
642,589,444
643,590,444
643,589,445
643,589,445
642,589,444
643,589,444
642,589,444
642,590,445
642,590,445
643,589,444
643,590,444
642,589,445
643,589,444
642,590,445
643,589,445
643,589,444
643,589,445
642,589,445
643,589,445
642,589,444
642,589,444
642,589,445
643,589,445
643,589,445
643,590,445
642,589,444
642,590,445
642,590,445
643,588,444
642,589,444
643,589,445
643,589,445
643,589,445
642,590,445
643,589,444
643,589,444
643,589,444
643,589,445
642,589,444
643,589,444
642,589,445
643,589,444
643,589,445
643,589,444
644,589,445
643,590,444
643,589,445
642,590,445
643,589,445
642,589,445
642,588,444
643,590,445
644,589,445
642,589,445
644,590,445
643,589,445
643,589,445
642,589,445
643,589,445
644,589,444
643,589,445
643,589,445
643,589,444
643,589,445
643,589,445
643,589,445
643,589,444
643,589,444
643,589,444
643,590,445
642,590,445
642,590,445
643,589,445
643,589,445
643,589,445
643,589,444
643,589,445
642,589,445
643,590,444
642,590,445
643,589,445
642,589,445
642,590,445
642,590,445
643,590,445
643,589,444
643,590,444
644,590,445
643,590,444
643,588,445
643,589,445
642,589,445
643,587,444
642,590,445
642,589,445
644,588,445
643,589,444
643,589,445
643,585,445
643,589,445
644,588,444
643,588,444
642,589,445
643,588,445
642,588,444
643,588,444
642,589,444
643,589,444
643,589,444
643,589,444
642,589,445
642,589,445
643,588,444
643,588,445
642,588,444
643,588,444
642,589,444
642,588,445
643,589,445
642,589,444
642,589,445
642,589,444
642,588,445
642,589,444
643,588,444
642,589,445
643,588,444
642,588,444
642,589,445
642,589,444
642,589,445
643,588,445
643,588,444
642,589,445
642,589,445
644,588,444
642,588,444
642,589,445
642,589,445
642,588,444
642,589,445
643,588,444
642,588,444
642,588,444
643,589,445
643,588,445
642,588,444
643,588,444
642,589,445
642,588,444
642,588,445
643,588,444
642,589,444
642,589,445
643,588,444
642,589,445
643,588,444
642,589,444
642,589,444
642,589,444
642,588,444
642,589,444
642,589,444
642,588,444
642,589,444
642,589,444
643,589,445
643,588,444
643,588,444
643,588,444
643,589,444
642,588,444
643,589,445
642,589,444
642,589,445
642,589,445
642,588,444
642,588,444
642,589,444
643,589,445
642,588,444
642,589,445
642,589,445
643,588,444
642,588,444
643,589,445
643,588,444
642,589,445
643,589,444
643,588,444
642,588,444
642,588,445
642,589,444
643,589,445
643,588,444
642,589,444
642,588,444
642,589,445
642,589,444
642,588,444
642,589,445
643,588,444
643,588,444
643,587,444
643,588,444
642,589,445
643,588,444
642,589,445
642,588,444
643,588,444
642,589,444
642,588,444
643,589,445
642,588,444
642,588,444
643,588,445
643,588,444
642,589,445
644,588,444
642,588,445
643,588,444
642,589,445
642,589,445
643,588,444
642,588,444
642,589,445
643,588,444
642,589,444
643,588,444
642,588,445
643,588,445
643,589,445
643,589,445
642,589,445
642,589,445
642,589,444
642,588,444
643,588,444
644,588,444
642,589,444
642,589,445
643,588,444
643,588,444
642,589,445
644,587,444
643,588,445
643,589,445
643,587,444
643,588,444
643,588,445
642,589,444
643,588,444
642,588,444
643,588,444
643,588,445
643,587,444
642,588,445
643,588,444
643,588,444
643,588,444
642,588,445
643,588,444
642,588,444
643,588,444
643,588,444
643,588,444
642,588,445
643,588,444
642,589,444
643,588,444
643,588,444
643,588,444
644,588,444
643,588,444
642,588,444
642,588,444
644,588,444
643,588,444
642,589,444
644,588,445
643,588,444
643,588,444
643,588,444
643,588,445
643,588,444
643,588,444
643,588,444
643,587,444
643,588,444
643,588,444
643,588,444
